"Gene","Alias"
"TOMM7","TOMM7"
"ENO4","ENO4"
"RABEP1","RABEP1;RAB5EP;RABPT5"
"GLS2","GLS2"
"ABO","ABO"
"SLC2A11","SLC2A11"
"SBDS","SBDS"
"SETSIP","SETSIP;SETP18"
"SPIN2A","SPIN2A"
"MSH2","MSH2"
"RYR3","RYR3"
"NPPA","NPPA"
"CAPN5","CAPN5;ADNIV;HTRA3;VRNI;nCL-3"
"SKOR2","SKOR2"
"ATM","ATM"
"GHR","GHR"
"CECR1","CECR1"
"COPE","COPE;epsilon-COP"
"MARK1","MARK1"
"PRKCQ","PRKCQ"
"LGALS13","LGALS13"
"GPR179","GPR179;CSNB1E;GPR158L;GPR158L1"
"CENPE","CENPE"
"ALPPL2","ALPPL2"
"SLC3A1","SLC3A1"
"NTAN1","NTAN1"
"INO80","INO80;INO80A;INOC1"
"OAS2","OAS2"
"ACACA","ACACA"
"GDF6","GDF6"
"HNRNPM","HNRNPM"
"ASAP3","ASAP3;ACAP4;CENTB6;DDEFL1;UPLC1"
"ALOX5","ALOX5"
"SLC16A10","SLC16A10"
"RAB18","RAB18"
"PHF19","PHF19"
"TRPV3","TRPV3;FNEPPK2;OLMS;OLMS1;VRL3"
"ADORA1","ADORA1"
"QSOX2","QSOX2"
"AFAP1","AFAP1"
"RBPJL","RBPJL"
"DOT1L","DOT1L;DOT1;KMT4"
"A0A087X1B8","A0A087X1B8"
"FTL","FTL"
"A0A087X1C1","A0A087X1C1"
"CYP2D7","CYP2D7"
"ARFIP2","ARFIP2"
"NDUFA5","NDUFA5;B13;CI-13KD-B;CI-13kB;NUFM;UQOR13"
"RITA1","RITA1"
"SMG1","SMG1"
"SYTL1","SYTL1"
"COPS7B","COPS7B;CSN7B;SGN7b"
"KCNAB1","KCNAB1"
"WTAP","WTAP"
"PLEKHA8","PLEKHA8"
"CD48","CD48"
"COG8","COG8;CDG2H;DOR1"
"ACAN","ACAN"
"GPR50","GPR50"
"EEF1D","EEF1D"
"SLC12A5","SLC12A5"
"AGRN","AGRN;AGRIN;CMS8;CMSPPD"
"P2RX3","P2RX3"
"GLDN","GLDN"
"UAP1L1","UAP1L1"
"C1S","C1S"
"HPSE2","HPSE2"
"DLGAP4","DLGAP4;DAP-4;DAP4;DLP4;SAPAP-4;SAPAP4"
"IFIT2","IFIT2"
"TAX1BP3","TAX1BP3"
"WDR6","WDR6"
"PTGS1","PTGS1"
"FOXP1","FOXP1"
"MUC1","MUC1;ADMCKD;ADMCKD1;ADTKD2;CA 15-3;CD227;Ca15-3;EMA;H23AG;KL-6;MAM6;MCD;MCKD;MCKD1;MUC-1;MUC-1/SEC;MUC-1/X;MUC1/ZD;PEM;PEMT;PUM"
"RBFOX1","RBFOX1"
"BIRC2","BIRC2"
"CCAR2","CCAR2"
"TAS2R43","TAS2R43"
"APC","APC"
"HECTD1","HECTD1;EULIR"
"PFKFB2","PFKFB2"
"PSMC6","PSMC6"
"LSM7","LSM7;YNL147W"
"CIITA","CIITA"
"PRUNE2","PRUNE2"
"LOC100129216","LOC100129216"
"WRB","WRB"
"LOC102723897","LOC102723897"
"FER1L5","FER1L5"
"GPS1","GPS1"
"PTRH1","PTRH1"
"PRIM2","PRIM2"
"UQCRHL","UQCRHL"
"TAF7","TAF7;TAF2F;TAFII55"
"SAA2-SAA4","SAA2-SAA4"
"MAP4K5","MAP4K5"
"POP4","POP4"
"HSD17B1","HSD17B1"
"LAMA4","LAMA4"
"RBP1","RBP1;CRABP-I;CRBP;CRBP1;CRBPI;RBPC;hCRBP1"
"INF2","INF2"
"SEMA6A","SEMA6A"
"FRAS1","FRAS1"
"PPM1K","PPM1K"
"VDAC2","VDAC2"
"SEC11C","SEC11C;SEC11L3;SPC21;SPCS4C"
"FGFR2","FGFR2"
"RALGPS2","RALGPS2"
"CEP192","CEP192"
"RBM44","RBM44"
"FADS1","FADS1;D5D;FADS6;FADSD5;LLCDL1;TU12"
"RBM10","RBM10"
"GABRG3","GABRG3"
"DGAT1","DGAT1"
"NRXN3","NRXN3"
"NADK","NADK;NADK1;dJ283E3.1"
"EPB41L3","EPB41L3"
"EXOC7","EXOC7"
"PLCG2","PLCG2"
"CALCR","CALCR"
"APP","APP;AAA;ABETA;ABPP;AD1;APPI;CTFgamma;CVAP;PN-II;PN2;alpha-sAPP;preA4"
"SNX6","SNX6"
"CTNNA2","CTNNA2"
"TNNT2","TNNT2"
"PCMT1","PCMT1"
"CENPW","CENPW;C6orf173;CENP-W;CUG2"
"MTX1","MTX1"
"CASP7","CASP7"
"NRAP","NRAP"
"GJB7","GJB7"
"SNAP91","SNAP91;AP180;CALM"
"HENMT1","HENMT1"
"FPGT","FPGT"
"PTGER3","PTGER3"
"SMARCA1","SMARCA1"
"PRDX1","PRDX1;MSP23;NKEF-A;NKEFA;PAG;PAGA;PAGB;PRX1;PRXI;TDPX2"
"SLC13A3","SLC13A3"
"FNDC5","FNDC5"
"SNRPC","SNRPC"
"DFNB31","DFNB31;CIP98;PDZD7B;USH2D;WI"
"TMEM38B","TMEM38B"
"ABI1","ABI1"
"RRBP1","RRBP1"
"GBA2","GBA2"
"EBPL","EBPL;EBRP"
"APTX","APTX"
"RGL3","RGL3"
"BDP1","BDP1"
"IGHD","IGHD"
"RAD51B","RAD51B;R51H2;RAD51L1;REC2"
"SFXN3","SFXN3"
"GSN","GSN"
"CAMK2G","CAMK2G"
"LPIN1","LPIN1"
"PDE1C","PDE1C;DFNA74;Hcam3;cam-PDE 1C;hCam-3"
"MYD88","MYD88"
"PCK2","PCK2"
"IL15RA","IL15RA"
"CEP83","CEP83"
"SLC4A1","SLC4A1;AE1;BND3;CD233;CHC;DI;EMPB3;EPB3;FR;RTA1A;SAO;SPH4;SW;WD;WD1;WR"
"PRKG1","PRKG1"
"ADCY3","ADCY3"
"FSHR","FSHR"
"RIMS2","RIMS2"
"TENM3","TENM3;MCOPCB9;MCOPS15;ODZ3;TEN3;TNM3;Ten-m3;ten-3"
"ERBB4","ERBB4"
"AGTR1","AGTR1"
"PTER","PTER"
"KIF20B","KIF20B;CT90;KRMP1;MPHOSPH1;MPP-1;MPP1"
"FRS3","FRS3"
"ACE","ACE"
"NELFE","NELFE"
"ATP2C2","ATP2C2"
"PIGV","PIGV;GPI-MT-II;HPMRS1;PIG-V"
"ESPN","ESPN"
"OTOGL","OTOGL"
"SMARCA2","SMARCA2"
"RAB11FIP3","RAB11FIP3"
"TRPM8","TRPM8;LTRPC6;LTrpC-6;TRPP8;trp-p8"
"TAPBP","TAPBP"
"IARS","IARS"
"AURKC","AURKC"
"EZH1","EZH1"
"PLPP4","PLPP4;DPPL2;PPAPDC1;PPAPDC1A"
"PLCXD1","PLCXD1"
"FDXR","FDXR"
"ATP1A3","ATP1A3"
"FAM213B","FAM213B"
"SCN5A","SCN5A;CDCD2;CMD1E;CMPD2;HB1;HB2;HBBD;HH1;ICCD;IVF;LQT3;Nav1.5;PFHB1;SSS1;VF1"
"PLCL1","PLCL1"
"VPS54","VPS54"
"CSTF2","CSTF2"
"TCEA2","TCEA2"
"CHGB","CHGB"
"DNASE1L3","DNASE1L3;D3;DHP2;DNAS1L3;LSD;SLEB16"
"SLC45A1","SLC45A1"
"NOS3","NOS3"
"SERINC5","SERINC5;C5orf12;TPO1"
"WDR36","WDR36"
"SFTPC","SFTPC"
"LMO7","LMO7"
"GUCA1A","GUCA1A"
"VARS2","VARS2"
"DYNC1I1","DYNC1I1;DNCI1;DNCIC1"
"IL7","IL7"
"SCAP","SCAP"
"SPRY2","SPRY2"
"NLGN4X","NLGN4X"
"SH2B2","SH2B2"
"DBI","DBI;BPBS;BZRP;IBP;MBR;PBR;PBS;PKBS;PTBR;TSPO1;mDRC;pk18"
"ACTR3C","ACTR3C"
"TSHR","TSHR"
"NCEH1","NCEH1"
"TCF7L2","TCF7L2"
"CITED2","CITED2"
"DIO2","DIO2;5DII;D2;DIOII;SELENOY;SelY;TXDI2"
"RGMA","RGMA"
"TRPM1","TRPM1"
"OGFOD1","OGFOD1"
"DPH1","DPH1"
